"","AREA","AGE","GENDER","HEALTH","P","POPN","N"
"1","[E00101824] - Fremington","YOUNG","FEMALE","GOOD",0.0483762196597982,340,16.4479146843314
"2","[E00101824] - Fremington","YOUNG","FEMALE","FAIR",0.00134376936553441,340,0.456881584281699
"3","[E00101824] - Fremington","YOUNG","FEMALE","POOR",0.000390247235540281,340,0.132684060083695
"4","[E00101824] - Fremington","YOUNG","MALE","GOOD",0.0453393478628834,340,15.4153782733804
"5","[E00101824] - Fremington","YOUNG","MALE","FAIR",0.00125620275439726,340,0.427108936495068
"6","[E00101824] - Fremington","YOUNG","MALE","POOR",0.000353036650007823,340,0.12003246100266
"7","[E00101824] - Fremington","ADULT","FEMALE","GOOD",0.160688246649889,340,54.6340038609624
"8","[E00101824] - Fremington","ADULT","FEMALE","FAIR",0.0262323413261441,340,8.918996050889
"9","[E00101824] - Fremington","ADULT","FEMALE","POOR",0.0145414602741698,340,4.94409649321773
"10","[E00101824] - Fremington","ADULT","MALE","GOOD",0.139986300061614,340,47.5953420209487
"11","[E00101824] - Fremington","ADULT","MALE","FAIR",0.0227945037211915,340,7.75013126520511
"12","[E00101824] - Fremington","ADULT","MALE","POOR",0.0122277362002735,340,4.15743030809298
"13","[E00101824] - Fremington","ELDERLY","FEMALE","GOOD",0.158667899358318,340,53.9470857818282
"14","[E00101824] - Fremington","ELDERLY","FEMALE","FAIR",0.0879698364176347,340,29.9097443819958
"15","[E00101824] - Fremington","ELDERLY","FEMALE","POOR",0.0461686779379452,340,15.6973504989014
"16","[E00101824] - Fremington","ELDERLY","MALE","GOOD",0.127415359188562,340,43.321222124111
"17","[E00101824] - Fremington","ELDERLY","MALE","FAIR",0.0704625180127312,340,23.9572561243286
"18","[E00101824] - Fremington","ELDERLY","MALE","POOR",0.0357862973233652,340,12.1673410899442
"19","[E00101827] - Croyde","YOUNG","FEMALE","GOOD",0.0804196601326291,208,16.7272893075869
"20","[E00101827] - Croyde","YOUNG","FEMALE","FAIR",0.00167056283350482,208,0.347477069369003
"21","[E00101827] - Croyde","YOUNG","FEMALE","POOR",0.000102255037119071,208,0.0212690477207668
"22","[E00101827] - Croyde","YOUNG","MALE","GOOD",0.0701148345379203,208,14.5838855838874
"23","[E00101827] - Croyde","YOUNG","MALE","FAIR",0.00145278771530472,208,0.302179844783381
"24","[E00101827] - Croyde","YOUNG","MALE","POOR",8.605359284608e-05,208,0.0178991473119846
"25","[E00101827] - Croyde","ADULT","FEMALE","GOOD",0.310911995602449,208,64.6696950853094
"26","[E00101827] - Croyde","ADULT","FEMALE","FAIR",0.0379575518640925,208,7.89517078773124
"27","[E00101827] - Croyde","ADULT","FEMALE","POOR",0.00443481958903718,208,0.922442474519733
"28","[E00101827] - Croyde","ADULT","MALE","GOOD",0.251966753242471,208,52.4090846744339
"29","[E00101827] - Croyde","ADULT","MALE","FAIR",0.0306828445155624,208,6.38203165923697
"30","[E00101827] - Croyde","ADULT","MALE","POOR",0.00346911211216117,208,0.721575319329523
"31","[E00101827] - Croyde","ELDERLY","FEMALE","GOOD",0.0810858192733458,208,16.8658504088559
"32","[E00101827] - Croyde","ELDERLY","FEMALE","FAIR",0.0336199756538781,208,6.99295493600665
"33","[E00101827] - Croyde","ELDERLY","FEMALE","POOR",0.00371892864119068,208,0.773537157367661
"34","[E00101827] - Croyde","ELDERLY","MALE","GOOD",0.060573400979301,208,12.5992674036946
"35","[E00101827] - Croyde","ELDERLY","MALE","FAIR",0.0250510600263531,208,5.21062048548145
"36","[E00101827] - Croyde","ELDERLY","MALE","POOR",0.00268158465083423,208,0.557769607373519
"37","[E00165923] - Forches Avenue","YOUNG","FEMALE","GOOD",0.128100133507623,270,34.5870360470581
"38","[E00165923] - Forches Avenue","YOUNG","FEMALE","FAIR",0.00370598495771191,270,1.00061593858222
"39","[E00165923] - Forches Avenue","YOUNG","FEMALE","POOR",0.00128573129502176,270,0.347147449655875
"40","[E00165923] - Forches Avenue","YOUNG","MALE","GOOD",0.128617300639241,270,34.726671172595
"41","[E00165923] - Forches Avenue","YOUNG","MALE","FAIR",0.00371146290337384,270,1.00209498391094
"42","[E00165923] - Forches Avenue","YOUNG","MALE","POOR",0.00124605335717984,270,0.336434406438557
"43","[E00165923] - Forches Avenue","ADULT","FEMALE","GOOD",0.260318963714712,270,70.2861202029723
"44","[E00165923] - Forches Avenue","ADULT","FEMALE","FAIR",0.0442608765700568,270,11.9504366739153
"45","[E00165923] - Forches Avenue","ADULT","FEMALE","POOR",0.0293104469367766,270,7.91382067292968
"46","[E00165923] - Forches Avenue","ADULT","MALE","GOOD",0.242948205942227,270,65.5960156044014
"47","[E00165923] - Forches Avenue","ADULT","MALE","FAIR",0.0412021201258771,270,11.1245724339868
"48","[E00165923] - Forches Avenue","ADULT","MALE","POOR",0.0264038311573153,270,7.12903441247513
"49","[E00165923] - Forches Avenue","ELDERLY","FEMALE","GOOD",0.0247197073720633,270,6.67432099045708
"50","[E00165923] - Forches Avenue","ELDERLY","FEMALE","FAIR",0.0142741185394365,270,3.85401200564785
"51","[E00165923] - Forches Avenue","ELDERLY","FEMALE","POOR",0.00894941024122212,270,2.41634076512997
"52","[E00165923] - Forches Avenue","ELDERLY","MALE","GOOD",0.0212658380778648,270,5.7417762810235
"53","[E00165923] - Forches Avenue","ELDERLY","MALE","FAIR",0.0122484219781707,270,3.30707393410609
"54","[E00165923] - Forches Avenue","ELDERLY","MALE","POOR",0.00743139268412617,270,2.00647602471407
"55","[E00180270] - Lankey","YOUNG","FEMALE","GOOD",0.0805058080481169,329,26.4864108478305
"56","[E00180270] - Lankey","YOUNG","FEMALE","FAIR",0.00180771539859339,329,0.594738366137225
"57","[E00180270] - Lankey","YOUNG","FEMALE","POOR",0.000328283120411208,329,0.108005146615287
"58","[E00180270] - Lankey","YOUNG","MALE","GOOD",0.0705164622362293,329,23.1999160757194
"59","[E00180270] - Lankey","YOUNG","MALE","FAIR",0.0015793741429636,329,0.519614093035023
"60","[E00180270] - Lankey","YOUNG","MALE","POOR",0.000277554627125451,329,0.0913154723242735
"61","[E00180270] - Lankey","ADULT","FEMALE","GOOD",0.233478807522205,329,76.8145276748053
"62","[E00180270] - Lankey","ADULT","FEMALE","FAIR",0.0308113299445436,329,10.1369275517548
"63","[E00180270] - Lankey","ADULT","FEMALE","POOR",0.0106803333385912,329,3.5138296683965
"64","[E00180270] - Lankey","ADULT","MALE","GOOD",0.190094193069642,329,62.5409895199122
"65","[E00180270] - Lankey","ADULT","MALE","FAIR",0.0250220848356362,329,8.2322659109243
"66","[E00180270] - Lankey","ADULT","MALE","POOR",0.00839349445561582,329,2.7614596758976
"67","[E00180270] - Lankey","ELDERLY","FEMALE","GOOD",0.124291904937368,329,40.892036724394
"68","[E00180270] - Lankey","ELDERLY","FEMALE","FAIR",0.0557054378385107,329,18.32708904887
"69","[E00180270] - Lankey","ELDERLY","FEMALE","POOR",0.0182816185219821,329,6.01465249373212
"70","[E00180270] - Lankey","ELDERLY","MALE","GOOD",0.0932814988852345,329,30.6896131332422
"71","[E00180270] - Lankey","ELDERLY","MALE","FAIR",0.041700563863849,329,13.7194855112063
"72","[E00180270] - Lankey","ELDERLY","MALE","POOR",0.0132435352133826,329,4.35712308520289
